,F_equation_0,G_equation_0,type,state
1711,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1712,-6.751*x_1_0,2.702*x_2_0*(1 - x_1_0),Epidemic,True
1713,-1.562*x_1_0**1.0,x_2_0**2.0,Population,True
1714,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1715,0.696*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1716,-3.196*x_1_0,1.463*x_2_0*(1 - x_1_0),Epidemic,True
1717,9.57400000000000,5.942*sin(x_1_0*x_2_0),Kuramoto,True
1718,-x_1_0,exp(2.15*x_2_0)/(exp(2.15*x_2_0) + 2025434333.12497),Neural,True
1719,0.0,-1.998*x_1_0 + 1.998*x_2_0,Heat,True
1720,-6.426*x_1_0,0.918*x_2_0*(1 - x_1_0),Epidemic,True
1721,-0.67*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1722,-4.873*x_1_0,1.563*x_2_0*(1 - x_1_0),Epidemic,True
1723,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1724,9.22100000000000,7.911*sin(x_1_0*x_2_0),Kuramoto,True
1725,-6.899*x_1_0,3.759*x_2_0*(1 - x_1_0),Epidemic,True
1726,-x_1_0,exp(2.576*x_2_0)/(exp(2.576*x_2_0) + 1611578547.68157),Neural,True
1727,-4.461*x_1_0,0.704*x_2_0*(1 - x_1_0),Epidemic,True
1728,6.14400000000000,6.406*sin(x_1_0*x_2_0),Kuramoto,True
1729,-0.587*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1730,5.14300000000000,7.748*sin(x_1_0*x_2_0),Kuramoto,True
1731,-3.228*x_1_0 + 1.178*tanh(x_1_0),tanh(x_2_0),Excitation,True
1732,-2.883*x_1_0,0.418*x_2_0*(1 - x_1_0),Epidemic,True
1733,-5.254*x_1_0,1.137*x_2_0*(1 - x_1_0),Epidemic,True
1734,-x_1_0,exp(1.522*x_2_0)/(exp(1.522*x_2_0) + 7472.0150941376),Neural,True
1735,x_1_0*(1.449 - 1.021*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1736,5.94300000000000,5.013*sin(x_1_0*x_2_0),Kuramoto,True
1737,-0.151128400200094*x_1_0*(x_1_0 - 5.446)*(x_1_0 - 1.215) + 0.075,x_1_0*x_2_0/(0.846*x_1_0 + 0.063*x_2_0 + 5.275),Mutualistic,True
1738,5.21700000000000,6.928*sin(x_1_0*x_2_0),Kuramoto,True
1739,x_1_0*(1.855 - 1.271*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1740,-x_1_0,exp(1.14*x_2_0)/(exp(1.14*x_2_0) + 837.616199712274),Neural,True
1741,0.0,-0.586*x_1_0 + 0.586*x_2_0,Heat,True
1742,-x_1_0,exp(2.908*x_2_0)/(exp(2.908*x_2_0) + 57041.1376691157),Neural,True
1743,-x_1_0,exp(2.395*x_2_0)/(exp(2.395*x_2_0) + 8826196400.15738),Neural,True
1744,-4.999*x_1_0,1.03*x_2_0*(1 - x_1_0),Epidemic,True
1745,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1746,x_1_0*(0.07 - 1.813*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1747,-x_1_0,exp(2.555*x_2_0)/(exp(2.555*x_2_0) + 41387303831.1739),Neural,True
1748,-0.226223564079861*x_1_0*(x_1_0 - 5.158)*(x_1_0 - 0.857) + 0.095,x_1_0*x_2_0/(0.863*x_1_0 + 0.127*x_2_0 + 4.556),Mutualistic,True
1749,0.0,-0.713*x_1_0 + 0.713*x_2_0,Heat,True
1750,x_1_0*(1.218 - 1.175*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1751,-4.901*x_1_0 + 2.285*tanh(x_1_0),tanh(x_2_0),Excitation,True
1752,0.0,-1.415*x_1_0 + 1.415*x_2_0,Heat,True
1753,-x_1_0,exp(2.507*x_2_0)/(exp(2.507*x_2_0) + 722279.166251142),Neural,True
1754,x_1_0*(1.041 - 1.501*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1755,8.33400000000000,9.887*sin(x_1_0*x_2_0),Kuramoto,True
1756,0.0,-0.985*x_1_0 + 0.985*x_2_0,Heat,True
1757,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1758,0.0,-1.02*x_1_0 + 1.02*x_2_0,Heat,True
1759,-x_1_0,exp(0.99*x_2_0)/(exp(0.99*x_2_0) + 50.9222520535453),Neural,True
1760,-x_1_0,exp(2.521*x_2_0)/(exp(2.521*x_2_0) + 7195907.3589141),Neural,True
1761,-3.982*x_1_0,3.991*x_2_0*(1 - x_1_0),Epidemic,True
1762,8.85200000000000,8.675*sin(x_1_0*x_2_0),Kuramoto,True
1763,-1.106*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1764,-0.255305242948469*x_1_0*(x_1_0 - 4.451)*(x_1_0 - 0.88) + 0.125,x_1_0*x_2_0/(0.921*x_1_0 + 0.109*x_2_0 + 4.983),Mutualistic,True
1765,5.92000000000000,9.024*sin(x_1_0*x_2_0),Kuramoto,True
1766,-4.603*x_1_0,4.552*x_2_0*(1 - x_1_0),Epidemic,True
1767,-1.286*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1768,-0.59*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1769,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1770,-4.407*x_1_0 + 1.511*tanh(x_1_0),tanh(x_2_0),Excitation,True
1771,-6.592*x_1_0,3.184*x_2_0*(1 - x_1_0),Epidemic,True
1772,x_1_0*(0.216 - 0.414*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1773,-x_1_0,exp(0.766*x_2_0)/(exp(0.766*x_2_0) + 931.270702202785),Neural,True
1774,9.02700000000000,5.188*sin(x_1_0*x_2_0),Kuramoto,True
1775,-3.333*x_1_0 + 3.682*tanh(x_1_0),tanh(x_2_0),Excitation,True
1776,-1.483*x_1_0 + 2.828*tanh(x_1_0),tanh(x_2_0),Excitation,True
1777,8.31700000000000,5.584*sin(x_1_0*x_2_0),Kuramoto,True
1778,0.0,-1.762*x_1_0 + 1.762*x_2_0,Heat,True
1779,-3.472*x_1_0 + 2.487*tanh(x_1_0),tanh(x_2_0),Excitation,True
1780,9.26800000000000,6.767*sin(x_1_0*x_2_0),Kuramoto,True
1781,7.19600000000000,7.093*sin(x_1_0*x_2_0),Kuramoto,True
1782,-0.312271261301097*x_1_0*(x_1_0 - 4.504)*(x_1_0 - 0.711) + 0.104,x_1_0*x_2_0/(0.952*x_1_0 + 0.112*x_2_0 + 4.308),Mutualistic,True
1783,-0.893*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1784,x_1_0*(0.082 - 1.582*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1785,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1786,0.0,-1.545*x_1_0 + 1.545*x_2_0,Heat,True
1787,-0.118097384993224*x_1_0*(x_1_0 - 5.938)*(x_1_0 - 1.426) + 0.142,x_1_0*x_2_0/(0.872*x_1_0 + 0.085*x_2_0 + 5.322),Mutualistic,True
1788,x_1_0*(0.432 - 1.219*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1789,-x_1_0,exp(2.693*x_2_0)/(exp(2.693*x_2_0) + 114325445126.337),Neural,True
1790,-x_1_0,exp(0.862*x_2_0)/(exp(0.862*x_2_0) + 4564.43491979952),Neural,True
1791,-7.899*x_1_0,0.393*x_2_0*(1 - x_1_0),Epidemic,True
1792,-2.484*x_1_0,1.955*x_2_0*(1 - x_1_0),Epidemic,True
1793,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1794,-x_1_0,exp(0.343*x_2_0)/(exp(0.343*x_2_0) + 3.61794794830575),Neural,True
1795,-7.938*x_1_0,4.907*x_2_0*(1 - x_1_0),Epidemic,True
1796,-x_1_0,exp(2.481*x_2_0)/(exp(2.481*x_2_0) + 26.3102342902197),Neural,True
1797,-1.278*x_1_0**3.0,x_2_0**1.0,Population,True
1798,5.11800000000000,7.311*sin(x_1_0*x_2_0),Kuramoto,True
1799,-1.533*x_1_0 + 3.813*tanh(x_1_0),tanh(x_2_0),Excitation,True
1800,-2.835*x_1_0,2.505*x_2_0*(1 - x_1_0),Epidemic,True
1801,-1.413*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1802,x_1_0*(0.479 - 0.592*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1803,-1.454*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1804,0.539*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1805,-0.906*x_1_0**3.0,x_2_0**1.0,Population,True
1806,0.0,-1.767*x_1_0 + 1.767*x_2_0,Heat,True
1807,x_1_0*(1.223 - 1.586*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1808,x_1_0*(0.892 - 0.727*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1809,-0.138729196169742*x_1_0*(x_1_0 - 5.062)*(x_1_0 - 1.424) + 0.083,x_1_0*x_2_0/(0.817*x_1_0 + 0.057*x_2_0 + 4.502),Mutualistic,True
1810,1.194*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1811,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1812,-x_1_0,exp(1.089*x_2_0)/(exp(1.089*x_2_0) + 7.2808455322196),Neural,True
1813,-2.405*x_1_0,4.343*x_2_0*(1 - x_1_0),Epidemic,True
1814,6.09100000000000,5.439*sin(x_1_0*x_2_0),Kuramoto,True
1815,-1.196*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1816,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1817,8.60800000000000,9.558*sin(x_1_0*x_2_0),Kuramoto,True
1818,-0.46*x_1_0**1.0,x_2_0**1.0,Population,True
1819,0.0,-1.515*x_1_0 + 1.515*x_2_0,Heat,True
1820,-x_1_0,exp(2.24*x_2_0)/(exp(2.24*x_2_0) + 687216542.041589),Neural,True
1821,0.689*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1822,-0.533*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1823,-0.18331526761371*x_1_0*(x_1_0 - 5.923)*(x_1_0 - 0.921) + 0.102,x_1_0*x_2_0/(0.997*x_1_0 + 0.148*x_2_0 + 5.647),Mutualistic,True
1824,5.85400000000000,8.928*sin(x_1_0*x_2_0),Kuramoto,True
1825,-1.012*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1826,-0.15109930790473*x_1_0*(x_1_0 - 4.418)*(x_1_0 - 1.498) + 0.134,x_1_0*x_2_0/(0.855*x_1_0 + 0.1*x_2_0 + 5.227),Mutualistic,True
1827,1.458*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1828,-0.91*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1829,-0.608*x_1_0**3.0,x_2_0**1.0,Population,True
1830,-0.561*x_1_0**1.0,x_2_0**2.0,Population,True
1831,-4.836*x_1_0 + 1.72*tanh(x_1_0),tanh(x_2_0),Excitation,True
1832,-1.166*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1833,1.139*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1834,-6.564*x_1_0,2.663*x_2_0*(1 - x_1_0),Epidemic,True
1835,-0.529*x_1_0**1.0,x_2_0**2.0,Population,True
1836,x_1_0*(1.731 - 0.314*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1837,x_1_0*(1.24 - 1.203*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1838,-0.747*x_1_0**1.0,x_2_0**2.0,Population,True
1839,-1.282*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1840,1.143*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1841,-x_1_0,exp(2.419*x_2_0)/(exp(2.419*x_2_0) + 61.9801393089084),Neural,True
1842,-x_1_0,exp(0.84*x_2_0)/(exp(0.84*x_2_0) + 12.9182365616164),Neural,True
1843,-1.356*x_1_0**1.0,x_2_0**2.0,Population,True
1844,x_1_0*(1.974 - 1.486*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1845,-1.162*x_1_0**1.0,x_2_0**2.0,Population,True
1846,0.0,-0.661*x_1_0 + 0.661*x_2_0,Heat,True
1847,-0.314*x_1_0**1.0,x_2_0**1.0,Population,True
1848,-1.801*x_1_0**1.0,x_2_0**2.0,Population,True
1849,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1850,-0.808*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1851,-x_1_0,exp(2.856*x_2_0)/(exp(2.856*x_2_0) + 110354969211.097),Neural,True
1852,-0.64*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1853,-2.69*x_1_0 + 2.551*tanh(x_1_0),tanh(x_2_0),Excitation,True
1854,5.06600000000000,7.724*sin(x_1_0*x_2_0),Kuramoto,True
1855,x_1_0*(1.92 - 0.321*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1856,-x_1_0,exp(0.395*x_2_0)/(exp(0.395*x_2_0) + 4.03235269136372),Neural,True
1857,-0.351192896912944*x_1_0*(x_1_0 - 4.818)*(x_1_0 - 0.591) + 0.137,x_1_0*x_2_0/(0.915*x_1_0 + 0.133*x_2_0 + 4.594),Mutualistic,True
1858,-1.279*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1859,-3.803*x_1_0 + 4.81*tanh(x_1_0),tanh(x_2_0),Excitation,True
1860,-2.75*x_1_0,4.973*x_2_0*(1 - x_1_0),Epidemic,True
1861,-1.057*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1862,7.87000000000000,7.529*sin(x_1_0*x_2_0),Kuramoto,True
1863,8.29700000000000,5.218*sin(x_1_0*x_2_0),Kuramoto,True
1864,-1.457*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1865,-5.588*x_1_0,4.891*x_2_0*(1 - x_1_0),Epidemic,True
1866,-7.155*x_1_0,4.341*x_2_0*(1 - x_1_0),Epidemic,True
1867,-x_1_0,exp(1.344*x_2_0)/(exp(1.344*x_2_0) + 20.656540489813),Neural,True
1868,-x_1_0,exp(2.316*x_2_0)/(exp(2.316*x_2_0) + 1997534.04443654),Neural,True
1869,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1870,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1871,0.0,-1.788*x_1_0 + 1.788*x_2_0,Heat,True
1872,-4.611*x_1_0,2.474*x_2_0*(1 - x_1_0),Epidemic,True
1873,-x_1_0,exp(0.119*x_2_0)/(exp(0.119*x_2_0) + 3.2009991645784),Neural,True
1874,0.0,-1.54*x_1_0 + 1.54*x_2_0,Heat,True
1875,1.475*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1876,-7.558*x_1_0,4.707*x_2_0*(1 - x_1_0),Epidemic,True
1877,0.0,-1.139*x_1_0 + 1.139*x_2_0,Heat,True
1878,x_1_0*(1.761 - 1.424*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1879,-0.180255140335837*x_1_0*(x_1_0 - 4.324)*(x_1_0 - 1.283) + 0.146,x_1_0*x_2_0/(0.813*x_1_0 + 0.131*x_2_0 + 4.687),Mutualistic,True
1880,5.23300000000000,5.396*sin(x_1_0*x_2_0),Kuramoto,True
1881,-1.326*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1882,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1883,-x_1_0,exp(1.61*x_2_0)/(exp(1.61*x_2_0) + 5300808.95556198),Neural,True
1884,-0.977*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1885,x_1_0*(1.071 - 1.449*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1886,0.0,-0.78*x_1_0 + 0.78*x_2_0,Heat,True
1887,-3.641*x_1_0 + 3.687*tanh(x_1_0),tanh(x_2_0),Excitation,True
1888,-3.305*x_1_0 + 1.373*tanh(x_1_0),tanh(x_2_0),Excitation,True
1889,-2.437*x_1_0,1.846*x_2_0*(1 - x_1_0),Epidemic,True
1890,x_1_0*(0.961 - 0.539*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1891,-x_1_0,exp(1.028*x_2_0)/(exp(1.028*x_2_0) + 45.4659639055956),Neural,True
1892,-1.859*x_1_0 + 3.181*tanh(x_1_0),tanh(x_2_0),Excitation,True
1893,-5.947*x_1_0,4.182*x_2_0*(1 - x_1_0),Epidemic,True
1894,-1.094*x_1_0**1.0,x_2_0**1.0,Population,True
1895,9.60900000000000,9.338*sin(x_1_0*x_2_0),Kuramoto,True
1896,-4.735*x_1_0 + 4.602*tanh(x_1_0),tanh(x_2_0),Excitation,True
1897,-1.735*x_1_0**1.0,x_2_0**2.0,Population,True
1898,-2.763*x_1_0,0.934*x_2_0*(1 - x_1_0),Epidemic,True
1899,-1.472*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1900,-2.956*x_1_0 + 2.911*tanh(x_1_0),tanh(x_2_0),Excitation,True
1901,-1.138*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1902,-0.349757967486499*x_1_0*(x_1_0 - 5.016)*(x_1_0 - 0.57) + 0.077,x_1_0*x_2_0/(0.848*x_1_0 + 0.094*x_2_0 + 5.13),Mutualistic,True
1903,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1904,-1.549*x_1_0**3.0,x_2_0**1.0,Population,True
1905,-x_1_0,exp(0.852*x_2_0)/(exp(0.852*x_2_0) + 4.58378006764954),Neural,True
1906,-0.605*x_1_0**1.0,x_2_0**1.0,Population,True
1907,1.422*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1908,0.0,-0.71*x_1_0 + 0.71*x_2_0,Heat,True
1909,0.0,-1.271*x_1_0 + 1.271*x_2_0,Heat,True
1910,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1911,-0.754*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1912,-0.149485679570868*x_1_0*(x_1_0 - 5.452)*(x_1_0 - 1.227) + 0.102,x_1_0*x_2_0/(0.923*x_1_0 + 0.075*x_2_0 + 5.925),Mutualistic,True
1913,-0.207740925460894*x_1_0*(x_1_0 - 5.758)*(x_1_0 - 0.836) + 0.107,x_1_0*x_2_0/(0.913*x_1_0 + 0.094*x_2_0 + 5.576),Mutualistic,True
1914,-4.348*x_1_0 + 4.61*tanh(x_1_0),tanh(x_2_0),Excitation,True
1915,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1916,-x_1_0,exp(2.749*x_2_0)/(exp(2.749*x_2_0) + 116685518.748694),Neural,True
1917,-0.221906670936151*x_1_0*(x_1_0 - 5.283)*(x_1_0 - 0.853) + 0.051,x_1_0*x_2_0/(0.952*x_1_0 + 0.09*x_2_0 + 4.55),Mutualistic,True
1918,-0.902*x_1_0**1.0,x_2_0**1.0,Population,True
1919,-6.608*x_1_0,4.495*x_2_0*(1 - x_1_0),Epidemic,True
1920,1.261*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1921,0.859*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1922,-0.251153926716298*x_1_0*(x_1_0 - 4.646)*(x_1_0 - 0.857) + 0.116,x_1_0*x_2_0/(0.947*x_1_0 + 0.076*x_2_0 + 4.302),Mutualistic,True
1923,-0.229*x_1_0**3.0,x_2_0**1.0,Population,True
1924,-0.219351063041057*x_1_0*(x_1_0 - 4.038)*(x_1_0 - 1.129) + 0.126,x_1_0*x_2_0/(0.896*x_1_0 + 0.064*x_2_0 + 5.922),Mutualistic,True
1925,-0.991*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1926,-0.296749994065*x_1_0*(x_1_0 - 4.56)*(x_1_0 - 0.739) + 0.133,x_1_0*x_2_0/(0.947*x_1_0 + 0.076*x_2_0 + 4.874),Mutualistic,True
1927,-0.944*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1928,-0.407929496729221*x_1_0*(x_1_0 - 4.409)*(x_1_0 - 0.556) + 0.092,x_1_0*x_2_0/(0.931*x_1_0 + 0.131*x_2_0 + 5.596),Mutualistic,True
1929,-1.098*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1930,-x_1_0,exp(0.803*x_2_0)/(exp(0.803*x_2_0) + 317.577537145543),Neural,True
1931,-1.849*x_1_0**3.0,x_2_0**1.0,Population,True
1932,-1.714*x_1_0**1.0,x_2_0**2.0,Population,True
1933,-0.445*x_1_0**1.0,x_2_0**2.0,Population,True
1934,-3.401*x_1_0 + 4.304*tanh(x_1_0),tanh(x_2_0),Excitation,True
1935,-0.246636251484134*x_1_0*(x_1_0 - 4.597)*(x_1_0 - 0.882) + 0.114,x_1_0*x_2_0/(0.849*x_1_0 + 0.071*x_2_0 + 5.712),Mutualistic,True
1936,-0.666*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1937,7.51900000000000,5.549*sin(x_1_0*x_2_0),Kuramoto,True
1938,8.60100000000000,9.321*sin(x_1_0*x_2_0),Kuramoto,True
1939,-6.477*x_1_0,1.181*x_2_0*(1 - x_1_0),Epidemic,True
1940,-x_1_0,exp(2.2*x_2_0)/(exp(2.2*x_2_0) + 29168502.3968585),Neural,True
1941,-3.818*x_1_0,2.656*x_2_0*(1 - x_1_0),Epidemic,True
1942,-1.222*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1943,x_1_0*(1.144 - 0.157*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1944,-3.566*x_1_0 + 4.61*tanh(x_1_0),tanh(x_2_0),Excitation,True
1945,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1946,-0.975*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1947,-6.492*x_1_0,0.811*x_2_0*(1 - x_1_0),Epidemic,True
1948,-x_1_0,exp(0.791*x_2_0)/(exp(0.791*x_2_0) + 2.43290009382251),Neural,True
1949,6.45800000000000,7.711*sin(x_1_0*x_2_0),Kuramoto,True
1950,0.0,-1.231*x_1_0 + 1.231*x_2_0,Heat,True
1951,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1952,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1953,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1954,-4.613*x_1_0 + 4.08*tanh(x_1_0),tanh(x_2_0),Excitation,True
1955,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1956,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1957,-1.107*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1958,-0.144018508106514*x_1_0*(x_1_0 - 5.636)*(x_1_0 - 1.232) + 0.089,x_1_0*x_2_0/(0.971*x_1_0 + 0.109*x_2_0 + 4.066),Mutualistic,True
1959,1.134*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1960,x_1_0*(1.669 - 0.103*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1961,-0.831*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1962,6.12900000000000,9.329*sin(x_1_0*x_2_0),Kuramoto,True
1963,-x_1_0,exp(0.192*x_2_0)/(exp(0.192*x_2_0) + 2.48738510490263),Neural,True
1964,-2.721*x_1_0 + 4.475*tanh(x_1_0),tanh(x_2_0),Excitation,True
1965,0.0,-1.502*x_1_0 + 1.502*x_2_0,Heat,True
1966,-x_1_0,exp(0.302*x_2_0)/(exp(0.302*x_2_0) + 4.38146875338384),Neural,True
1967,-0.137843575110964*x_1_0*(x_1_0 - 5.65)*(x_1_0 - 1.284) + 0.115,x_1_0*x_2_0/(0.862*x_1_0 + 0.092*x_2_0 + 5.297),Mutualistic,True
1968,x_1_0*(1.027 - 0.183*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1969,x_1_0*(1.966 - 1.935*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1970,-4.016*x_1_0 + 1.336*tanh(x_1_0),tanh(x_2_0),Excitation,True
1971,-4.752*x_1_0,2.449*x_2_0*(1 - x_1_0),Epidemic,True
1972,-4.335*x_1_0 + 3.292*tanh(x_1_0),tanh(x_2_0),Excitation,True
1973,-1.12*x_1_0**1.0,x_2_0**1.0,Population,True
1974,8.24000000000000,9.532*sin(x_1_0*x_2_0),Kuramoto,True
1975,0.0,-0.754*x_1_0 + 0.754*x_2_0,Heat,True
1976,1.237*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1977,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1978,-0.975*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1979,-3.339*x_1_0,2.355*x_2_0*(1 - x_1_0),Epidemic,True
1980,-1.266*x_1_0**1.0,x_2_0**2.0,Population,True
1981,7.17500000000000,7.885*sin(x_1_0*x_2_0),Kuramoto,True
1982,-4.058*x_1_0 + 4.663*tanh(x_1_0),tanh(x_2_0),Excitation,True
1983,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
1984,x_1_0*(1.774 - 1.953*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
1985,8.02300000000000,8.126*sin(x_1_0*x_2_0),Kuramoto,True
1986,-5.688*x_1_0,2.851*x_2_0*(1 - x_1_0),Epidemic,True
1987,0.749*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
1988,8.26300000000000,8.041*sin(x_1_0*x_2_0),Kuramoto,True
1989,-0.196517242815919*x_1_0*(x_1_0 - 4.738)*(x_1_0 - 1.074) + 0.1,x_1_0*x_2_0/(0.899*x_1_0 + 0.149*x_2_0 + 5.038),Mutualistic,True
