,F_equation_0,F_equation_1,G_equation_0,G_equation_1,type,state
1231,0.126*x_1_1,-0.361*x_1_1,-0.139*x_1_0*x_2_1,0.12*x_1_0*x_2_1,SIS,True
1232,0.0,0.0,-0.127*x_1_0*x_2_1,0.103*x_1_0*x_2_1,SI,True
1233,0.372*x_1_1,-0.289*x_1_1,-0.149*x_1_0*x_2_1,0.054*x_1_0*x_2_1,SIS,True
1234,-x_1_0**3 + x_1_0 - x_1_1,0.868*x_1_0 + 0.034*x_1_1 + 0.464,0.596*x_1_0 - 0.596*x_2_0,0.0,FitzHughNagumo,True
1235,0.0,0.0,-0.077*x_1_0*x_2_1,0.159*x_1_0*x_2_1,SI,True
1236,0.0,0.0,-0.159*x_1_0*x_2_1,0.066*x_1_0*x_2_1,SI,True
1237,-x_1_0**3 + x_1_0 - x_1_1,0.815*x_1_0 + 0.01*x_1_1 + 0.272,0.596*x_1_0 - 0.596*x_2_0,0.0,FitzHughNagumo,True
1238,-x_1_0**3 + x_1_0 - x_1_1,0.417*x_1_0 + 0.048*x_1_1 + 0.397,0.626*x_1_0 - 0.626*x_2_0,0.0,FitzHughNagumo,True
1239,0.155*x_1_1,-0.148*x_1_1,-0.166*x_1_0*x_2_1,0.142*x_1_0*x_2_1,SIS,True
1240,-x_1_0**3 + x_1_0 - x_1_1,0.456*x_1_0 + 0.011*x_1_1 + 0.191,1.399*x_1_0 - 1.399*x_2_0,0.0,FitzHughNagumo,True
1241,-x_1_0**3 + x_1_0 - x_1_1,0.138*x_1_0 + 0.01*x_1_1 + 0.207,0.931*x_1_0 - 0.931*x_2_0,0.0,FitzHughNagumo,True
1242,0.0,0.0,-0.056*x_1_0*x_2_1,0.063*x_1_0*x_2_1,SI,True
1243,0.372*x_1_1,-0.392*x_1_1,-0.186*x_1_0*x_2_1,0.042*x_1_0*x_2_1,SIS,True
1244,0.0,0.0,-0.126*x_1_0*x_2_1,0.096*x_1_0*x_2_1,SI,True
1245,0.0,0.0,-0.143*x_1_0*x_2_1,0.02*x_1_0*x_2_1,SI,True
1246,0.359*x_1_1,-0.381*x_1_1,-0.063*x_1_0*x_2_1,0.185*x_1_0*x_2_1,SIS,True
1247,0.0,0.0,-0.131*x_1_0*x_2_1,0.07*x_1_0*x_2_1,SI,True
1248,0.158*x_1_1,-0.303*x_1_1,-0.097*x_1_0*x_2_1,0.169*x_1_0*x_2_1,SIS,True
1249,0.0,0.0,-0.08*x_1_0*x_2_1,0.023*x_1_0*x_2_1,SI,True
1250,0.4*x_1_1,-0.137*x_1_1,-0.04*x_1_0*x_2_1,0.144*x_1_0*x_2_1,SIS,True
1251,0.182*x_1_1,-0.264*x_1_1,-0.02*x_1_0*x_2_1,0.167*x_1_0*x_2_1,SIS,True
1252,0.0,0.0,-0.123*x_1_0*x_2_1,0.078*x_1_0*x_2_1,SI,True
1253,0.288*x_1_1,-0.372*x_1_1,-0.141*x_1_0*x_2_1,0.151*x_1_0*x_2_1,SIS,True
1254,-x_1_0**3 + x_1_0 - x_1_1,0.307*x_1_0 + 0.046*x_1_1 + 0.125,1.48*x_1_0 - 1.48*x_2_0,0.0,FitzHughNagumo,True
1255,0.183*x_1_1,-0.267*x_1_1,-0.197*x_1_0*x_2_1,0.042*x_1_0*x_2_1,SIS,True
1256,0.207*x_1_1,-0.287*x_1_1,-0.152*x_1_0*x_2_1,0.146*x_1_0*x_2_1,SIS,True
1257,-x_1_0**3 + x_1_0 - x_1_1,0.121*x_1_0 + 0.039*x_1_1 + 0.325,0.567*x_1_0 - 0.567*x_2_0,0.0,FitzHughNagumo,True
1258,0.0,0.0,-0.062*x_1_0*x_2_1,0.042*x_1_0*x_2_1,SI,True
1259,0.0,0.0,-0.038*x_1_0*x_2_1,0.075*x_1_0*x_2_1,SI,True
1260,-x_1_0**3 + x_1_0 - x_1_1,0.32*x_1_0 + 0.045*x_1_1 + 0.483,0.651*x_1_0 - 0.651*x_2_0,0.0,FitzHughNagumo,True
1261,0.32*x_1_1,-0.25*x_1_1,-0.068*x_1_0*x_2_1,0.175*x_1_0*x_2_1,SIS,True
1262,0.0,0.0,-0.081*x_1_0*x_2_1,0.07*x_1_0*x_2_1,SI,True
1263,-x_1_0**3 + x_1_0 - x_1_1,0.542*x_1_0 + 0.012*x_1_1 + 0.474,1.082*x_1_0 - 1.082*x_2_0,0.0,FitzHughNagumo,True
1264,0.109*x_1_1,-0.305*x_1_1,-0.121*x_1_0*x_2_1,0.142*x_1_0*x_2_1,SIS,True
1265,0.0,0.0,-0.171*x_1_0*x_2_1,0.058*x_1_0*x_2_1,SI,True
1266,0.162*x_1_1,-0.134*x_1_1,-0.089*x_1_0*x_2_1,0.096*x_1_0*x_2_1,SIS,True
1267,-x_1_0**3 + x_1_0 - x_1_1,0.725*x_1_0 + 0.042*x_1_1 + 0.316,1.373*x_1_0 - 1.373*x_2_0,0.0,FitzHughNagumo,True
1268,0.0,0.0,-0.126*x_1_0*x_2_1,0.063*x_1_0*x_2_1,SI,True
1269,0.0,0.0,-0.049*x_1_0*x_2_1,0.066*x_1_0*x_2_1,SI,True
1270,-x_1_0**3 + x_1_0 - x_1_1,0.176*x_1_0 + 0.014*x_1_1 + 0.417,1.121*x_1_0 - 1.121*x_2_0,0.0,FitzHughNagumo,True
1271,0.197*x_1_1,-0.275*x_1_1,-0.195*x_1_0*x_2_1,0.026*x_1_0*x_2_1,SIS,True
1272,-x_1_0**3 + x_1_0 - x_1_1,0.28*x_1_0 + 0.026*x_1_1 + 0.348,0.958*x_1_0 - 0.958*x_2_0,0.0,FitzHughNagumo,True
1273,0.213*x_1_1,-0.362*x_1_1,-0.173*x_1_0*x_2_1,0.101*x_1_0*x_2_1,SIS,True
1274,0.0,0.0,-0.099*x_1_0*x_2_1,0.044*x_1_0*x_2_1,SI,True
1275,-x_1_0**3 + x_1_0 - x_1_1,0.4*x_1_0 + 0.042*x_1_1 + 0.323,1.354*x_1_0 - 1.354*x_2_0,0.0,FitzHughNagumo,True
1276,-x_1_0**3 + x_1_0 - x_1_1,0.507*x_1_0 + 0.023*x_1_1 + 0.292,0.539*x_1_0 - 0.539*x_2_0,0.0,FitzHughNagumo,True
1277,0.16*x_1_1,-0.149*x_1_1,-0.092*x_1_0*x_2_1,0.023*x_1_0*x_2_1,SIS,True
1278,0.0,0.0,-0.118*x_1_0*x_2_1,0.025*x_1_0*x_2_1,SI,True
1279,-x_1_0**3 + x_1_0 - x_1_1,0.169*x_1_0 + 0.022*x_1_1 + 0.417,0.504*x_1_0 - 0.504*x_2_0,0.0,FitzHughNagumo,True
1280,-x_1_0**3 + x_1_0 - x_1_1,0.77*x_1_0 + 0.05*x_1_1 + 0.284,1.234*x_1_0 - 1.234*x_2_0,0.0,FitzHughNagumo,True
1281,0.263*x_1_1,-0.354*x_1_1,-0.138*x_1_0*x_2_1,0.177*x_1_0*x_2_1,SIS,True
1282,0.0,0.0,-0.071*x_1_0*x_2_1,0.139*x_1_0*x_2_1,SI,True
1283,-x_1_0**3 + x_1_0 - x_1_1,0.821*x_1_0 + 0.049*x_1_1 + 0.125,0.9*x_1_0 - 0.9*x_2_0,0.0,FitzHughNagumo,True
1284,0.382*x_1_1,-0.178*x_1_1,-0.144*x_1_0*x_2_1,0.039*x_1_0*x_2_1,SIS,True
1285,0.0,0.0,-0.188*x_1_0*x_2_1,0.151*x_1_0*x_2_1,SI,True
1286,0.0,0.0,-0.038*x_1_0*x_2_1,0.042*x_1_0*x_2_1,SI,True
1287,-x_1_0**3 + x_1_0 - x_1_1,0.246*x_1_0 + 0.036*x_1_1 + 0.255,0.758*x_1_0 - 0.758*x_2_0,0.0,FitzHughNagumo,True
1288,0.0,0.0,-0.089*x_1_0*x_2_1,0.187*x_1_0*x_2_1,SI,True
1289,0.135*x_1_1,-0.174*x_1_1,-0.145*x_1_0*x_2_1,0.022*x_1_0*x_2_1,SIS,True
1290,0.155*x_1_1,-0.188*x_1_1,-0.088*x_1_0*x_2_1,0.061*x_1_0*x_2_1,SIS,True
1291,-x_1_0**3 + x_1_0 - x_1_1,0.93*x_1_0 + 0.027*x_1_1 + 0.434,1.467*x_1_0 - 1.467*x_2_0,0.0,FitzHughNagumo,True
1292,0.379*x_1_1,-0.194*x_1_1,-0.098*x_1_0*x_2_1,0.178*x_1_0*x_2_1,SIS,True
1293,-x_1_0**3 + x_1_0 - x_1_1,0.749*x_1_0 + 0.037*x_1_1 + 0.497,0.836*x_1_0 - 0.836*x_2_0,0.0,FitzHughNagumo,True
1294,0.0,0.0,-0.162*x_1_0*x_2_1,0.023*x_1_0*x_2_1,SI,True
1295,0.142*x_1_1,-0.103*x_1_1,-0.049*x_1_0*x_2_1,0.167*x_1_0*x_2_1,SIS,True
1296,-x_1_0**3 + x_1_0 - x_1_1,0.117*x_1_0 + 0.034*x_1_1 + 0.121,1.013*x_1_0 - 1.013*x_2_0,0.0,FitzHughNagumo,True
1297,-x_1_0**3 + x_1_0 - x_1_1,0.525*x_1_0 + 0.039*x_1_1 + 0.157,1.026*x_1_0 - 1.026*x_2_0,0.0,FitzHughNagumo,True
1298,-x_1_0**3 + x_1_0 - x_1_1,0.433*x_1_0 + 0.042*x_1_1 + 0.223,0.787*x_1_0 - 0.787*x_2_0,0.0,FitzHughNagumo,True
1299,-x_1_0**3 + x_1_0 - x_1_1,0.496*x_1_0 + 0.018*x_1_1 + 0.229,0.815*x_1_0 - 0.815*x_2_0,0.0,FitzHughNagumo,True
1300,0.319*x_1_1,-0.275*x_1_1,-0.141*x_1_0*x_2_1,0.048*x_1_0*x_2_1,SIS,True
1301,-x_1_0**3 + x_1_0 - x_1_1,0.408*x_1_0 + 0.018*x_1_1 + 0.229,1.247*x_1_0 - 1.247*x_2_0,0.0,FitzHughNagumo,True
1302,0.297*x_1_1,-0.336*x_1_1,-0.122*x_1_0*x_2_1,0.182*x_1_0*x_2_1,SIS,True
1303,-x_1_0**3 + x_1_0 - x_1_1,0.343*x_1_0 + 0.037*x_1_1 + 0.289,0.959*x_1_0 - 0.959*x_2_0,0.0,FitzHughNagumo,True
1304,-x_1_0**3 + x_1_0 - x_1_1,0.372*x_1_0 + 0.044*x_1_1 + 0.221,0.601*x_1_0 - 0.601*x_2_0,0.0,FitzHughNagumo,True
1305,0.0,0.0,-0.037*x_1_0*x_2_1,0.192*x_1_0*x_2_1,SI,True
1306,0.304*x_1_1,-0.28*x_1_1,-0.08*x_1_0*x_2_1,0.089*x_1_0*x_2_1,SIS,True
1307,-x_1_0**3 + x_1_0 - x_1_1,0.653*x_1_0 + 0.022*x_1_1 + 0.14,1.384*x_1_0 - 1.384*x_2_0,0.0,FitzHughNagumo,True
1308,-x_1_0**3 + x_1_0 - x_1_1,0.158*x_1_0 + 0.04*x_1_1 + 0.278,0.81*x_1_0 - 0.81*x_2_0,0.0,FitzHughNagumo,True
1309,0.34*x_1_1,-0.187*x_1_1,-0.027*x_1_0*x_2_1,0.08*x_1_0*x_2_1,SIS,True
1310,-x_1_0**3 + x_1_0 - x_1_1,0.299*x_1_0 + 0.022*x_1_1 + 0.474,0.62*x_1_0 - 0.62*x_2_0,0.0,FitzHughNagumo,True
1311,0.395*x_1_1,-0.281*x_1_1,-0.093*x_1_0*x_2_1,0.121*x_1_0*x_2_1,SIS,True
1312,0.281*x_1_1,-0.318*x_1_1,-0.103*x_1_0*x_2_1,0.038*x_1_0*x_2_1,SIS,True
1313,-x_1_0**3 + x_1_0 - x_1_1,0.142*x_1_0 + 0.011*x_1_1 + 0.267,0.965*x_1_0 - 0.965*x_2_0,0.0,FitzHughNagumo,True
1314,0.156*x_1_1,-0.258*x_1_1,-0.127*x_1_0*x_2_1,0.117*x_1_0*x_2_1,SIS,True
1315,-x_1_0**3 + x_1_0 - x_1_1,0.507*x_1_0 + 0.01*x_1_1 + 0.206,1.302*x_1_0 - 1.302*x_2_0,0.0,FitzHughNagumo,True
1316,-x_1_0**3 + x_1_0 - x_1_1,0.179*x_1_0 + 0.045*x_1_1 + 0.159,1.158*x_1_0 - 1.158*x_2_0,0.0,FitzHughNagumo,True
1317,0.0,0.0,-0.183*x_1_0*x_2_1,0.049*x_1_0*x_2_1,SI,True
1318,-x_1_0**3 + x_1_0 - x_1_1,0.318*x_1_0 + 0.05*x_1_1 + 0.381,1.34*x_1_0 - 1.34*x_2_0,0.0,FitzHughNagumo,True
1319,0.208*x_1_1,-0.261*x_1_1,-0.096*x_1_0*x_2_1,0.111*x_1_0*x_2_1,SIS,True
1320,0.225*x_1_1,-0.212*x_1_1,-0.09*x_1_0*x_2_1,0.142*x_1_0*x_2_1,SIS,True
1321,0.101*x_1_1,-0.294*x_1_1,-0.081*x_1_0*x_2_1,0.07*x_1_0*x_2_1,SIS,True
1322,0.0,0.0,-0.165*x_1_0*x_2_1,0.153*x_1_0*x_2_1,SI,True
1323,-x_1_0**3 + x_1_0 - x_1_1,0.731*x_1_0 + 0.031*x_1_1 + 0.325,0.733*x_1_0 - 0.733*x_2_0,0.0,FitzHughNagumo,True
1324,0.0,0.0,-0.178*x_1_0*x_2_1,0.183*x_1_0*x_2_1,SI,True
1325,0.0,0.0,-0.056*x_1_0*x_2_1,0.037*x_1_0*x_2_1,SI,True
1326,0.186*x_1_1,-0.213*x_1_1,-0.024*x_1_0*x_2_1,0.099*x_1_0*x_2_1,SIS,True
1327,0.0,0.0,-0.166*x_1_0*x_2_1,0.109*x_1_0*x_2_1,SI,True
1328,0.0,0.0,-0.143*x_1_0*x_2_1,0.124*x_1_0*x_2_1,SI,True
1329,0.0,0.0,-0.052*x_1_0*x_2_1,0.125*x_1_0*x_2_1,SI,True
1330,-x_1_0**3 + x_1_0 - x_1_1,0.244*x_1_0 + 0.023*x_1_1 + 0.236,0.741*x_1_0 - 0.741*x_2_0,0.0,FitzHughNagumo,True
1331,0.0,0.0,-0.039*x_1_0*x_2_1,0.07*x_1_0*x_2_1,SI,True
1332,-x_1_0**3 + x_1_0 - x_1_1,0.217*x_1_0 + 0.015*x_1_1 + 0.471,1.316*x_1_0 - 1.316*x_2_0,0.0,FitzHughNagumo,True
1333,0.0,0.0,-0.181*x_1_0*x_2_1,0.197*x_1_0*x_2_1,SI,True
1334,-x_1_0**3 + x_1_0 - x_1_1,0.679*x_1_0 + 0.047*x_1_1 + 0.269,1.284*x_1_0 - 1.284*x_2_0,0.0,FitzHughNagumo,True
1335,0.201*x_1_1,-0.33*x_1_1,-0.174*x_1_0*x_2_1,0.154*x_1_0*x_2_1,SIS,True
1336,-x_1_0**3 + x_1_0 - x_1_1,0.275*x_1_0 + 0.04*x_1_1 + 0.491,1.287*x_1_0 - 1.287*x_2_0,0.0,FitzHughNagumo,True
1337,0.0,0.0,-0.184*x_1_0*x_2_1,0.167*x_1_0*x_2_1,SI,True
1338,0.0,0.0,-0.085*x_1_0*x_2_1,0.022*x_1_0*x_2_1,SI,True
1339,0.164*x_1_1,-0.392*x_1_1,-0.052*x_1_0*x_2_1,0.098*x_1_0*x_2_1,SIS,True
1340,0.0,0.0,-0.158*x_1_0*x_2_1,0.126*x_1_0*x_2_1,SI,True
1341,0.275*x_1_1,-0.276*x_1_1,-0.183*x_1_0*x_2_1,0.176*x_1_0*x_2_1,SIS,True
1342,-x_1_0**3 + x_1_0 - x_1_1,0.253*x_1_0 + 0.017*x_1_1 + 0.29,0.68*x_1_0 - 0.68*x_2_0,0.0,FitzHughNagumo,True
1343,-x_1_0**3 + x_1_0 - x_1_1,0.344*x_1_0 + 0.012*x_1_1 + 0.376,1.07*x_1_0 - 1.07*x_2_0,0.0,FitzHughNagumo,True
1344,0.319*x_1_1,-0.162*x_1_1,-0.167*x_1_0*x_2_1,0.1*x_1_0*x_2_1,SIS,True
1345,-x_1_0**3 + x_1_0 - x_1_1,0.687*x_1_0 + 0.02*x_1_1 + 0.444,1.4*x_1_0 - 1.4*x_2_0,0.0,FitzHughNagumo,True
1346,0.25*x_1_1,-0.211*x_1_1,-0.15*x_1_0*x_2_1,0.062*x_1_0*x_2_1,SIS,True
1347,0.0,0.0,-0.171*x_1_0*x_2_1,0.143*x_1_0*x_2_1,SI,True
1348,-x_1_0**3 + x_1_0 - x_1_1,0.336*x_1_0 + 0.049*x_1_1 + 0.43,0.995*x_1_0 - 0.995*x_2_0,0.0,FitzHughNagumo,True
1349,-x_1_0**3 + x_1_0 - x_1_1,0.48*x_1_0 + 0.024*x_1_1 + 0.323,1.416*x_1_0 - 1.416*x_2_0,0.0,FitzHughNagumo,True
1350,0.0,0.0,-0.066*x_1_0*x_2_1,0.187*x_1_0*x_2_1,SI,True
1351,0.191*x_1_1,-0.3*x_1_1,-0.111*x_1_0*x_2_1,0.065*x_1_0*x_2_1,SIS,True
1352,0.226*x_1_1,-0.222*x_1_1,-0.031*x_1_0*x_2_1,0.19*x_1_0*x_2_1,SIS,True
1353,-x_1_0**3 + x_1_0 - x_1_1,0.434*x_1_0 + 0.034*x_1_1 + 0.321,1.28*x_1_0 - 1.28*x_2_0,0.0,FitzHughNagumo,True
1354,0.397*x_1_1,-0.254*x_1_1,-0.113*x_1_0*x_2_1,0.08*x_1_0*x_2_1,SIS,True
1355,0.0,0.0,-0.049*x_1_0*x_2_1,0.071*x_1_0*x_2_1,SI,True
1356,-x_1_0**3 + x_1_0 - x_1_1,0.145*x_1_0 + 0.028*x_1_1 + 0.298,0.837*x_1_0 - 0.837*x_2_0,0.0,FitzHughNagumo,True
1357,0.191*x_1_1,-0.202*x_1_1,-0.088*x_1_0*x_2_1,0.076*x_1_0*x_2_1,SIS,True
1358,-x_1_0**3 + x_1_0 - x_1_1,0.97*x_1_0 + 0.029*x_1_1 + 0.403,0.88*x_1_0 - 0.88*x_2_0,0.0,FitzHughNagumo,True
1359,0.0,0.0,-0.138*x_1_0*x_2_1,0.156*x_1_0*x_2_1,SI,True
1360,-x_1_0**3 + x_1_0 - x_1_1,0.511*x_1_0 + 0.027*x_1_1 + 0.111,0.599*x_1_0 - 0.599*x_2_0,0.0,FitzHughNagumo,True
1361,0.347*x_1_1,-0.149*x_1_1,-0.043*x_1_0*x_2_1,0.032*x_1_0*x_2_1,SIS,True
1362,0.0,0.0,-0.027*x_1_0*x_2_1,0.052*x_1_0*x_2_1,SI,True
1363,-x_1_0**3 + x_1_0 - x_1_1,0.701*x_1_0 + 0.045*x_1_1 + 0.304,0.66*x_1_0 - 0.66*x_2_0,0.0,FitzHughNagumo,True
1364,0.174*x_1_1,-0.328*x_1_1,-0.115*x_1_0*x_2_1,0.154*x_1_0*x_2_1,SIS,True
1365,0.0,0.0,-0.028*x_1_0*x_2_1,0.065*x_1_0*x_2_1,SI,True
1366,-x_1_0**3 + x_1_0 - x_1_1,0.983*x_1_0 + 0.021*x_1_1 + 0.107,1.176*x_1_0 - 1.176*x_2_0,0.0,FitzHughNagumo,True
1367,-x_1_0**3 + x_1_0 - x_1_1,0.806*x_1_0 + 0.026*x_1_1 + 0.314,0.602*x_1_0 - 0.602*x_2_0,0.0,FitzHughNagumo,True
1368,-x_1_0**3 + x_1_0 - x_1_1,0.898*x_1_0 + 0.044*x_1_1 + 0.134,1.274*x_1_0 - 1.274*x_2_0,0.0,FitzHughNagumo,True
1369,0.0,0.0,-0.137*x_1_0*x_2_1,0.146*x_1_0*x_2_1,SI,True
1370,0.0,0.0,-0.194*x_1_0*x_2_1,0.119*x_1_0*x_2_1,SI,True
1371,0.369*x_1_1,-0.285*x_1_1,-0.199*x_1_0*x_2_1,0.125*x_1_0*x_2_1,SIS,True
1372,0.0,0.0,-0.067*x_1_0*x_2_1,0.058*x_1_0*x_2_1,SI,True
1373,-x_1_0**3 + x_1_0 - x_1_1,0.748*x_1_0 + 0.026*x_1_1 + 0.43,1.028*x_1_0 - 1.028*x_2_0,0.0,FitzHughNagumo,True
1374,0.0,0.0,-0.044*x_1_0*x_2_1,0.111*x_1_0*x_2_1,SI,True
1375,-x_1_0**3 + x_1_0 - x_1_1,0.408*x_1_0 + 0.016*x_1_1 + 0.199,0.814*x_1_0 - 0.814*x_2_0,0.0,FitzHughNagumo,True
1376,0.0,0.0,-0.078*x_1_0*x_2_1,0.192*x_1_0*x_2_1,SI,True
1377,0.357*x_1_1,-0.391*x_1_1,-0.065*x_1_0*x_2_1,0.085*x_1_0*x_2_1,SIS,True
1378,0.0,0.0,-0.151*x_1_0*x_2_1,0.046*x_1_0*x_2_1,SI,True
1379,-x_1_0**3 + x_1_0 - x_1_1,0.606*x_1_0 + 0.042*x_1_1 + 0.123,1.152*x_1_0 - 1.152*x_2_0,0.0,FitzHughNagumo,True
1380,0.252*x_1_1,-0.239*x_1_1,-0.168*x_1_0*x_2_1,0.148*x_1_0*x_2_1,SIS,True
1381,0.171*x_1_1,-0.261*x_1_1,-0.191*x_1_0*x_2_1,0.098*x_1_0*x_2_1,SIS,True
1382,0.264*x_1_1,-0.379*x_1_1,-0.167*x_1_0*x_2_1,0.098*x_1_0*x_2_1,SIS,True
1383,0.0,0.0,-0.086*x_1_0*x_2_1,0.199*x_1_0*x_2_1,SI,True
1384,0.295*x_1_1,-0.16*x_1_1,-0.055*x_1_0*x_2_1,0.113*x_1_0*x_2_1,SIS,True
1385,-x_1_0**3 + x_1_0 - x_1_1,0.375*x_1_0 + 0.048*x_1_1 + 0.425,1.082*x_1_0 - 1.082*x_2_0,0.0,FitzHughNagumo,True
1386,-x_1_0**3 + x_1_0 - x_1_1,0.798*x_1_0 + 0.022*x_1_1 + 0.388,0.592*x_1_0 - 0.592*x_2_0,0.0,FitzHughNagumo,True
1387,0.0,0.0,-0.047*x_1_0*x_2_1,0.159*x_1_0*x_2_1,SI,True
1388,0.114*x_1_1,-0.249*x_1_1,-0.092*x_1_0*x_2_1,0.052*x_1_0*x_2_1,SIS,True
1389,0.383*x_1_1,-0.346*x_1_1,-0.066*x_1_0*x_2_1,0.036*x_1_0*x_2_1,SIS,True
1390,-x_1_0**3 + x_1_0 - x_1_1,0.469*x_1_0 + 0.019*x_1_1 + 0.345,0.511*x_1_0 - 0.511*x_2_0,0.0,FitzHughNagumo,True
1391,0.0,0.0,-0.185*x_1_0*x_2_1,0.138*x_1_0*x_2_1,SI,True
1392,0.0,0.0,-0.058*x_1_0*x_2_1,0.034*x_1_0*x_2_1,SI,True
1393,0.28*x_1_1,-0.195*x_1_1,-0.112*x_1_0*x_2_1,0.04*x_1_0*x_2_1,SIS,True
1394,-x_1_0**3 + x_1_0 - x_1_1,0.222*x_1_0 + 0.038*x_1_1 + 0.258,0.589*x_1_0 - 0.589*x_2_0,0.0,FitzHughNagumo,True
1395,0.0,0.0,-0.115*x_1_0*x_2_1,0.195*x_1_0*x_2_1,SI,True
1396,0.0,0.0,-0.029*x_1_0*x_2_1,0.101*x_1_0*x_2_1,SI,True
1397,0.121*x_1_1,-0.178*x_1_1,-0.079*x_1_0*x_2_1,0.161*x_1_0*x_2_1,SIS,True
1398,0.107*x_1_1,-0.301*x_1_1,-0.132*x_1_0*x_2_1,0.094*x_1_0*x_2_1,SIS,True
1399,-x_1_0**3 + x_1_0 - x_1_1,0.202*x_1_0 + 0.025*x_1_1 + 0.409,1.19*x_1_0 - 1.19*x_2_0,0.0,FitzHughNagumo,True
1400,-x_1_0**3 + x_1_0 - x_1_1,0.84*x_1_0 + 0.013*x_1_1 + 0.426,0.981*x_1_0 - 0.981*x_2_0,0.0,FitzHughNagumo,True
1401,0.209*x_1_1,-0.329*x_1_1,-0.03*x_1_0*x_2_1,0.042*x_1_0*x_2_1,SIS,True
1402,0.19*x_1_1,-0.239*x_1_1,-0.086*x_1_0*x_2_1,0.167*x_1_0*x_2_1,SIS,True
1403,-x_1_0**3 + x_1_0 - x_1_1,0.48*x_1_0 + 0.045*x_1_1 + 0.422,1.089*x_1_0 - 1.089*x_2_0,0.0,FitzHughNagumo,True
1404,0.113*x_1_1,-0.217*x_1_1,-0.124*x_1_0*x_2_1,0.084*x_1_0*x_2_1,SIS,True
1405,0.38*x_1_1,-0.118*x_1_1,-0.109*x_1_0*x_2_1,0.045*x_1_0*x_2_1,SIS,True
1406,0.0,0.0,-0.127*x_1_0*x_2_1,0.071*x_1_0*x_2_1,SI,True
1407,0.0,0.0,-0.112*x_1_0*x_2_1,0.146*x_1_0*x_2_1,SI,True
1408,0.117*x_1_1,-0.332*x_1_1,-0.071*x_1_0*x_2_1,0.034*x_1_0*x_2_1,SIS,True
1409,0.341*x_1_1,-0.234*x_1_1,-0.076*x_1_0*x_2_1,0.149*x_1_0*x_2_1,SIS,True
1410,-x_1_0**3 + x_1_0 - x_1_1,0.692*x_1_0 + 0.028*x_1_1 + 0.174,1.1*x_1_0 - 1.1*x_2_0,0.0,FitzHughNagumo,True
1411,0.0,0.0,-0.05*x_1_0*x_2_1,0.159*x_1_0*x_2_1,SI,True
1412,-x_1_0**3 + x_1_0 - x_1_1,0.615*x_1_0 + 0.048*x_1_1 + 0.272,0.693*x_1_0 - 0.693*x_2_0,0.0,FitzHughNagumo,True
1413,0.0,0.0,-0.153*x_1_0*x_2_1,0.185*x_1_0*x_2_1,SI,True
1414,-x_1_0**3 + x_1_0 - x_1_1,0.685*x_1_0 + 0.046*x_1_1 + 0.139,1.145*x_1_0 - 1.145*x_2_0,0.0,FitzHughNagumo,True
1415,-x_1_0**3 + x_1_0 - x_1_1,0.712*x_1_0 + 0.045*x_1_1 + 0.358,0.803*x_1_0 - 0.803*x_2_0,0.0,FitzHughNagumo,True
1416,0.0,0.0,-0.137*x_1_0*x_2_1,0.094*x_1_0*x_2_1,SI,True
1417,0.323*x_1_1,-0.215*x_1_1,-0.13*x_1_0*x_2_1,0.137*x_1_0*x_2_1,SIS,True
1418,-x_1_0**3 + x_1_0 - x_1_1,0.175*x_1_0 + 0.025*x_1_1 + 0.161,0.761*x_1_0 - 0.761*x_2_0,0.0,FitzHughNagumo,True
1419,0.105*x_1_1,-0.282*x_1_1,-0.152*x_1_0*x_2_1,0.089*x_1_0*x_2_1,SIS,True
1420,-x_1_0**3 + x_1_0 - x_1_1,0.331*x_1_0 + 0.034*x_1_1 + 0.263,1.067*x_1_0 - 1.067*x_2_0,0.0,FitzHughNagumo,True
1421,0.0,0.0,-0.078*x_1_0*x_2_1,0.022*x_1_0*x_2_1,SI,True
1422,0.124*x_1_1,-0.211*x_1_1,-0.196*x_1_0*x_2_1,0.021*x_1_0*x_2_1,SIS,True
1423,-x_1_0**3 + x_1_0 - x_1_1,0.514*x_1_0 + 0.015*x_1_1 + 0.383,1.11*x_1_0 - 1.11*x_2_0,0.0,FitzHughNagumo,True
1424,0.366*x_1_1,-0.326*x_1_1,-0.068*x_1_0*x_2_1,0.061*x_1_0*x_2_1,SIS,True
1425,0.27*x_1_1,-0.288*x_1_1,-0.089*x_1_0*x_2_1,0.196*x_1_0*x_2_1,SIS,True
1426,0.173*x_1_1,-0.107*x_1_1,-0.147*x_1_0*x_2_1,0.132*x_1_0*x_2_1,SIS,True
1427,0.298*x_1_1,-0.185*x_1_1,-0.119*x_1_0*x_2_1,0.167*x_1_0*x_2_1,SIS,True
1428,0.0,0.0,-0.158*x_1_0*x_2_1,0.195*x_1_0*x_2_1,SI,True
1429,0.0,0.0,-0.195*x_1_0*x_2_1,0.131*x_1_0*x_2_1,SI,True
1430,0.0,0.0,-0.183*x_1_0*x_2_1,0.197*x_1_0*x_2_1,SI,True
1431,0.156*x_1_1,-0.216*x_1_1,-0.113*x_1_0*x_2_1,0.088*x_1_0*x_2_1,SIS,True
1432,0.321*x_1_1,-0.117*x_1_1,-0.064*x_1_0*x_2_1,0.168*x_1_0*x_2_1,SIS,True
1433,0.0,0.0,-0.143*x_1_0*x_2_1,0.042*x_1_0*x_2_1,SI,True
